county,office,district,party,candidate,votes
APPLING,President,,Republican,George Bush,4494
ATKINSON,President,,Republican,George Bush,1666
BACON,President,,Republican,George Bush,2853
BAKER,President,,Republican,George Bush,821
BALDWIN,President,,Republican,George Bush,7709
BANKS,President,,Republican,George Bush,4410
BARROW,President,,Republican,George Bush,13520
BARTOW,President,,Republican,George Bush,22311
BEN HILL,President,,Republican,George Bush,3331
BERRIEN,President,,Republican,George Bush,3917
BIBB,President,,Republican,George Bush,28107
BLECKLEY,President,,Republican,George Bush,3167
BRANTLEY,President,,Republican,George Bush,4333
BROOKS,President,,Republican,George Bush,2912
BRYAN,President,,Republican,George Bush,7363
BULLOCH,President,,Republican,George Bush,12252
BURKE,President,,Republican,George Bush,4232
BUTTS,President,,Republican,George Bush,5119
CALHOUN,President,,Republican,George Bush,890
CAMDEN,President,,Republican,George Bush,9488
CANDLER,President,,Republican,George Bush,2048
CARROLL,President,,Republican,George Bush,24837
CATOOSA,President,,Republican,George Bush,16406
CHARLTON,President,,Republican,George Bush,2311
CHATHAM,President,,Republican,George Bush,45484
CHATTAHOOCHEE,President,,Republican,George Bush,905
CHATTOOGA,President,,Republican,George Bush,4992
CHEROKEE,President,,Republican,George Bush,58238
CLARKE,President,,Republican,George Bush,15052
CLAY,President,,Republican,George Bush,509
CLAYTON,President,,Republican,George Bush,23106
CLINCH,President,,Republican,George Bush,1501
COBB,President,,Republican,George Bush,173467
COFFEE,President,,Republican,George Bush,8306
COLQUITT,President,,Republican,George Bush,8296
COLUMBIA,President,,Republican,George Bush,35549
COOK,President,,Republican,George Bush,3065
COWETA,President,,Republican,George Bush,31682
CRAWFORD,President,,Republican,George Bush,2830
CRISP,President,,Republican,George Bush,3865
DADE,President,,Republican,George Bush,4368
DAWSON,President,,Republican,George Bush,6649
DECATUR,President,,Republican,George Bush,5348
DEKALB,President,,Republican,George Bush,73570
DODGE,President,,Republican,George Bush,4584
DOOLY,President,,Republican,George Bush,1853
DOUGHERTY,President,,Republican,George Bush,13711
DOUGLAS,President,,Republican,George Bush,25846
EARLY,President,,Republican,George Bush,2495
ECHOLS,President,,Republican,George Bush,757
EFFINGHAM,President,,Republican,George Bush,12503
ELBERT,President,,Republican,George Bush,4626
EMANUEL,President,,Republican,George Bush,4666
EVANS,President,,Republican,George Bush,2291
FANNIN,President,,Republican,George Bush,6862
FAYETTE,President,,Republican,George Bush,37346
FLOYD,President,,Republican,George Bush,21400
FORSYTH,President,,Republican,George Bush,47267
FRANKLIN,President,,Republican,George Bush,5218
FULTON,President,,Republican,George Bush,134372
GILMER,President,,Republican,George Bush,7414
GLASCOCK,President,,Republican,George Bush,1016
GLYNN,President,,Republican,George Bush,18608
GORDON,President,,Republican,George Bush,11671
GRADY,President,,Republican,George Bush,5068
GREENE,President,,Republican,George Bush,4069
GWINNETT,President,,Republican,George Bush,160445
HABERSHAM,President,,Republican,George Bush,10434
HALL,President,,Republican,George Bush,38883
HANCOCK,President,,Republican,George Bush,822
HARALSON,President,,Republican,George Bush,7703
HARRIS,President,,Republican,George Bush,8878
HART,President,,Republican,George Bush,5500
HEARD,President,,Republican,George Bush,2788
HENRY,President,,Republican,George Bush,42759
HOUSTON,President,,Republican,George Bush,29862
IRWIN,President,,Republican,George Bush,2347
JACKSON,President,,Republican,George Bush,12611
JASPER,President,,Republican,George Bush,3157
JEFF DAVIS,President,,Republican,George Bush,3549
JEFFERSON,President,,Republican,George Bush,3066
JENKINS,President,,Republican,George Bush,1898
JOHNSON,President,,Republican,George Bush,2279
JONES,President,,Republican,George Bush,6939
LAMAR,President,,Republican,George Bush,4027
LANIER,President,,Republican,George Bush,1641
LAURENS,President,,Republican,George Bush,10883
LEE,President,,Republican,George Bush,8201
LIBERTY,President,,Republican,George Bush,6131
LINCOLN,President,,Republican,George Bush,2309
LONG,President,,Republican,George Bush,1994
LOWNDES,President,,Republican,George Bush,18981
LUMPKIN,President,,Republican,George Bush,6690
MACON,President,,Republican,George Bush,1851
MADISON,President,,Republican,George Bush,7254
MARION,President,,Republican,George Bush,1670
MCDUFFIE,President,,Republican,George Bush,4846
MCINTOSH,President,,Republican,George Bush,2837
MERIWETHER,President,,Republican,George Bush,4402
MILLER,President,,Republican,George Bush,1694
MITCHELL,President,,Republican,George Bush,3885
MONROE,President,,Republican,George Bush,6522
MONTGOMERY,President,,Republican,George Bush,2150
MORGAN,President,,Republican,George Bush,4902
MURRAY,President,,Republican,George Bush,7745
MUSCOGEE,President,,Republican,George Bush,30850
NEWTON,President,,Republican,George Bush,18095
OCONEE,President,,Republican,George Bush,10276
OGLETHORPE,President,,Republican,George Bush,3688
PAULDING,President,,Republican,George Bush,30843
PEACH,President,,Republican,George Bush,4554
PICKENS,President,,Republican,George Bush,8115
PIERCE,President,,Republican,George Bush,4680
PIKE,President,,Republican,George Bush,5193
POLK,President,,Republican,George Bush,8467
PULASKI,President,,Republican,George Bush,2202
PUTNAM,President,,Republican,George Bush,5188
QUITMAN,President,,Republican,George Bush,409
RABUN,President,,Republican,George Bush,4650
RANDOLPH,President,,Republican,George Bush,1418
RICHMOND,President,,Republican,George Bush,29765
ROCKDALE,President,,Republican,George Bush,18856
SCHLEY,President,,Republican,George Bush,1063
SCREVEN,President,,Republican,George Bush,3360
SEMINOLE,President,,Republican,George Bush,1977
SPALDING,President,,Republican,George Bush,13461
STEPHENS,President,,Republican,George Bush,6904
STEWART,President,,Republican,George Bush,797
SUMTER,President,,Republican,George Bush,5688
TALBOT,President,,Republican,George Bush,1103
TALIAFERRO,President,,Republican,George Bush,335
TATTNALL,President,,Republican,George Bush,4657
TAYLOR,President,,Republican,George Bush,1912
TELFAIR,President,,Republican,George Bush,2171
TERRELL,President,,Republican,George Bush,1859
THOMAS,President,,Republican,George Bush,9659
TIFT,President,,Republican,George Bush,8619
TOOMBS,President,,Republican,George Bush,6196
TOWNS,President,,Republican,George Bush,3823
TREUTLEN,President,,Republican,George Bush,1691
TROUP,President,,Republican,George Bush,14183
TURNER,President,,Republican,George Bush,1815
TWIGGS,President,,Republican,George Bush,2112
UNION,President,,Republican,George Bush,6847
UPSON,President,,Republican,George Bush,6634
WALKER,President,,Republican,George Bush,15340
WALTON,President,,Republican,George Bush,21594
WARE,President,,Republican,George Bush,7791
WARREN,President,,Republican,George Bush,1121
WASHINGTON,President,,Republican,George Bush,4081
WAYNE,President,,Republican,George Bush,6819
WEBSTER,President,,Republican,George Bush,485
WHEELER,President,,Republican,George Bush,1192
WHITE,President,,Republican,George Bush,7403
WHITFIELD,President,,Republican,George Bush,19297
WILCOX,President,,Republican,George Bush,1705
WILKES,President,,Republican,George Bush,2490
WILKINSON,President,,Republican,George Bush,2261
WORTH,President,,Republican,George Bush,5105
APPLING,President,,Democrat,John Kerry,1848
ATKINSON,President,,Democrat,John Kerry,799
BACON,President,,Democrat,John Kerry,930
BAKER,President,,Democrat,John Kerry,936
BALDWIN,President,,Democrat,John Kerry,6775
BANKS,President,,Democrat,John Kerry,1149
BARROW,President,,Democrat,John Kerry,4095
BARTOW,President,,Democrat,John Kerry,7741
BEN HILL,President,,Democrat,John Kerry,2180
BERRIEN,President,,Democrat,John Kerry,1638
BIBB,President,,Democrat,John Kerry,29322
BLECKLEY,President,,Democrat,John Kerry,1281
BRANTLEY,President,,Democrat,John Kerry,1258
BROOKS,President,,Democrat,John Kerry,2193
BRYAN,President,,Democrat,John Kerry,2590
BULLOCH,President,,Democrat,John Kerry,6840
BURKE,President,,Democrat,John Kerry,4213
BUTTS,President,,Democrat,John Kerry,2572
CALHOUN,President,,Democrat,John Kerry,1119
CAMDEN,President,,Democrat,John Kerry,4637
CANDLER,President,,Democrat,John Kerry,1096
CARROLL,President,,Democrat,John Kerry,10224
CATOOSA,President,,Democrat,John Kerry,5807
CHARLTON,President,,Democrat,John Kerry,1064
CHATHAM,President,,Democrat,John Kerry,45630
CHATTAHOOCHEE,President,,Democrat,John Kerry,773
CHATTOOGA,President,,Democrat,John Kerry,2809
CHEROKEE,President,,Democrat,John Kerry,14824
CLARKE,President,,Democrat,John Kerry,21718
CLAY,President,,Democrat,John Kerry,798
CLAYTON,President,,Democrat,John Kerry,56113
CLINCH,President,,Democrat,John Kerry,750
COBB,President,,Democrat,John Kerry,103955
COFFEE,President,,Democrat,John Kerry,3979
COLQUITT,President,,Democrat,John Kerry,3378
COLUMBIA,President,,Democrat,John Kerry,11442
COOK,President,,Democrat,John Kerry,1733
