country,office,district,party,candidate,votes
DADE,State House,1,Democrat,FRED STEPHENS,590
WALKER,State House,1,Democrat,FRED STEPHENS,1769
DADE,State House,1,Republican,BRIAN JOYCE,534
WALKER,State House,1,Republican,BRIAN JOYCE,324
CATOOSA,State House,2,Democrat,MIKE SNOW,347
WALKER,State House,2,Democrat,MIKE SNOW,4672
CATOOSA,State House,2,Republican,GENE SHARP,101
WALKER,State House,2,Republican,GENE SHARP,301
CATOOSA,State House,3,Democrat,JIM PRICE,2628
CATOOSA,State House,3,Republican,RON FORSTER,1585
WHITFIELD,State House,4,Republican,ALLEN HAMMONTREE,1314
WHITFIELD,State House,5,Democrat,JIM MIDDLETON,816
WHITFIELD,State House,5,Republican,HAROLD MANN,1725
FANNIN,State House,6,Democrat,DAVID RIDLEY,144
FANNIN,State House,6,Democrat,JUDY POAG,498
MURRAY,State House,6,Democrat,DAVID RIDLEY,1518
MURRAY,State House,6,Democrat,JUDY POAG,3429
FANNIN,State House,6,Republican,JERRY LIFSEY,932
MURRAY,State House,6,Republican,JERRY LIFSEY,324
FANNIN,State House,7,Democrat,PAM DAVIDSON,343
GILMER,State House,7,Democrat,PAM DAVIDSON,517
LUMPKIN,State House,7,Democrat,PAM DAVIDSON,639
FANNIN,State House,7,Republican,AMOS AMERSON,147
FANNIN,State House,7,Republican,BEN WHITAKER,796
FANNIN,State House,7,Republican,TONY GUISASOLA,274
GILMER,State House,7,Republican,AMOS AMERSON,525
GILMER,State House,7,Republican,BEN WHITAKER,1412
GILMER,State House,7,Republican,TONY GUISASOLA,963
LUMPKIN,State House,7,Republican,AMOS AMERSON,1317
LUMPKIN,State House,7,Republican,BEN WHITAKER,861
LUMPKIN,State House,7,Republican,TONY GUISASOLA,346
RABUN,State House,8,Democrat,RALPH TWIGGS,1442
TOWNS,State House,8,Democrat,RALPH TWIGGS,1780
UNION,State House,8,Democrat,RALPH TWIGGS,2824
WHITE,State House,8,Democrat,RALPH TWIGGS,812
RABUN,State House,8,Republican,BILLY JOHNSON,357
TOWNS,State House,8,Republican,BILLY JOHNSON,442
UNION,State House,8,Republican,BILLY JOHNSON,643
WHITE,State House,8,Republican,BILLY JOHNSON,202
HABERSHAM,State House,9,Democrat,KATHLEEN HALL,2219
WHITE,State House,9,Democrat,KATHLEEN HALL,1419
HABERSHAM,State House,9,Republican,BEN BRIDGES,1578
WHITE,State House,9,Republican,BEN BRIDGES,418
GORDON,State House,10,Democrat,TOM SHANAHAN,3469
CHATTOOGA,State House,11,Democrat,BARBARA REECE,2875
FLOYD,State House,11,Democrat,BARBARA REECE,838
WALKER,State House,11,Democrat,BARBARA REECE,189
FLOYD,State House,12,Democrat,PAUL SMITH,2576
FLOYD,State House,12,Republican,RONNIE GREER,515
BARTOW,State House,13,Democrat,(BUDDY) CHILDERS,481
BARTOW,State House,13,Democrat,MARK POWELL,104
FLOYD,State House,13,Democrat,(BUDDY) CHILDERS,2110
FLOYD,State House,13,Democrat,MARK POWELL,349
BARTOW,State House,13,Republican,DAN MEDLIN,330
